         ps       /mp3_tb/dut/caches/dmem_cache/pmem_address                           /mp3_tb/dut/caches/dmem_cache/pmem_wdata                           /mp3_tb/dut/caches/dmem_cache/pmem_rdata        
          delta       /mp3_tb/dut/caches/dmem_cache/pmem_write                            /mp3_tb/dut/caches/dmem_cache/pmem_read                                                                         
          0  +0                                     xxxxxxxx x xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 
   11655000  +6                                     00000000 0 0000600d00001eaff0edf0eddeebdeebba11ba1100006969cccccccc2dd22dd2 0 0000000000000000000000000000000000000000000000000000000000000000 
   11665000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   13575000  +6                                     00000000 0 00010610beadbead0000eb0f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
   13585000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   13975000  +6                                     00000000 0 00010610beadbeaf0000eb0f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
   13985000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   14495000  +6                                     00000000 0 00010610beadbeaf0000eb0f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
   14505000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   15385000  +5                                     000005e8 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
   15695000  +4                                     000005e8 0 0000000000000000000000000000000000000000000000000000000000000000 1 00000013001403131e57ac2300000797000283e7000000130000001300000013 
   15695000  +8                                     000005e8 0 0000000000000000000000000000000000000000000000000000000000000000 1 00e202130000001300000013000000130001064400000000000105a0000105cc 
   15705000  +8                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 00e202130000001300000013000000130001064400000000000105a0000105cc 
   15705000  +9                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   15895000  +6                                     00000000 0 b006b0060000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
   15905000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   16455000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   16465000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   16835000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   16845000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17455000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17465000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17815000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17825000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17855000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17865000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17895000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17905000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17935000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   17945000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   18295000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   18305000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   18755000  +6                                     00000000 0 0000600dbeadbeaf0000eb0f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
   18765000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   18795000  +6                                     00000000 0 0000600dbeadbeaf0000eb0f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
   18805000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   18835000  +6                                     00000000 0 0000600dbeadbeaf0000eb0f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
   18845000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   18875000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   18885000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   19235000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   19245000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   19275000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d00000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   19285000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   19315000  +6                                     00000000 0 0000600d00001eaff0edf0eddeebdeebba11ba11ffffffca0000eb0f2dd22dd2 0 0000000000000000000000000000000000000000000000000000000000000000 
   19325000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   19835000  +6                                     00000000 0 1e1dbe1dbdd7fb349005d22400000007f00bf00bd0cad0ca0000600d0000600d 0 0000000000000000000000000000000000000000000000000000000000000000 
   19845000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   23525000  +5                                     00000564 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   23525000  +8                                     00000064 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   23835000  +4                                     00000064 1 0000000000000000000000000000000000000000000000000000000000000000 0 1b41a183000001971c01a1830000019700252023004505131c45051300000517 
   23835000  +7                                     00000064 1 0000000000000000000000000000000000000000000000000000000000000000 0 00010610beadbead0000700f00000000000080670e008093000000970637ae23 
   23835000  +8                                     00000064 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   24135000  +3                                     00000864 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
   24435000 +11                                     00000864 0 0000000000000000000000000000000000000000000000000000000000000000 1 0001089c00003dac9a4d9a4d00000000abdaabda000000000000000004000263 
   24445000  +3                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0001089c00003dac9a4d9a4d00000000abdaabda000000000000000004000263 
   24445000  +4                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   24595000  +6                                     00000000 0 0001089c00003dac9a4d9a4d00000000abdaabda000000290000001004000263 0 0000000000000000000000000000000000000000000000000000000000000000 
   24605000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   24955000  +6                                     00000000 0 0001089c00003dac9a4d9a4d00000000abdaabda000000290000001004000263 0 0000000000000000000000000000000000000000000000000000000000000000 
   24965000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   25035000  +6                                     00000000 0 0001089c00003dac9a4d9a4dabdaabdaabdaabda000000290000001004000263 0 0000000000000000000000000000000000000000000000000000000000000000 
   25045000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   25415000  +6                                     00000000 0 0001089c00003dac9a4d9a4dabdaabdaabdaabda000000290000001004000263 0 0000000000000000000000000000000000000000000000000000000000000000 
   25425000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   25505000  +8                                     0000059c 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   25505000  +9                                     0000059c 1 b006b0060000001ab006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
   25505000 +10                                     0000059c 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   25505000 +11                                     0000009c 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   25815000  +3                                     0000089c 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
   25825000  +8                                     0000089c 0 0000000000000000000000000000000000000000000000000000000000000000 1 000001971e778223000007971e82220300000217006800a31f48081300000817 
   25835000  +6                                     0000089c 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
   26115000  +9                                     0000089c 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb03faddfadd 
   26125000  +3                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb03faddfadd 
   26125000  +4                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   26125000  +6                                     00000000 0 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb03faddfadd 0 0000000000000000000000000000000000000000000000000000000000000000 
   26135000  +5                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   27995000  +6                                     00000000 0 0000600d0000001a0000600dba11ba11ba11ba11ffffffca0000eb0f2dd22dd2 0 0000000000000000000000000000000000000000000000000000000000000000 
   28005000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   28035000  +6                                     00000000 0 0000600d0000001a0000600dba11ba11ba11ba11ffffffca0000eb0f2dd22dd2 0 0000000000000000000000000000000000000000000000000000000000000000 
   28045000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   28075000  +6                                     00000000 0 0000600d0000001a0000600dba11ba11ba11ba11ffffffca0000eb0f2dd22dd2 0 0000000000000000000000000000000000000000000000000000000000000000 
   28085000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   28575000  +6                                     00000000 0 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb0300003dbf 0 0000000000000000000000000000000000000000000000000000000000000000 
   28585000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   28995000  +6                                     00000000 0 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb0300003dbf 0 0000000000000000000000000000000000000000000000000000000000000000 
   29005000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   29075000  +6                                     00000000 0 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb0300003dbf 0 0000000000000000000000000000000000000000000000000000000000000000 
   29085000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   29495000  +6                                     00000000 0 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb0300003dbf 0 0000000000000000000000000000000000000000000000000000000000000000 
   29505000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   31515000  +6                                     00000000 0 0000600dbeadbeaf0000eb0f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
   31525000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   32575000  +8                                     00000570 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   32575000  +9                                     00000570 1 0000600dbeadbeaf0000eb0f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
   32575000 +10                                     00000570 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   33165000  +3                                     00000c70 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
   33465000 +11                                     00000c70 0 0000000000000000000000000000000000000000000000000000000000000000 1 000000fffffffff10000003f00004a3f00000ffff000f0000000010000000000 
   33475000  +3                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 000000fffffffff10000003f00004a3f00000ffff000f0000000010000000000 
   33475000  +4                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   33475000  +6                                     00000000 0 000000fffffffff10000003f00004a3f00000ffff000f0000000010000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   33485000  +5                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   33825000  +6                                     00000000 0 000000fffffffff10000003f00004a3f00000ffff000f0000000010000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   33835000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   33855000  +8                                     00000580 1 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
   34165000  +3                                     00000c80 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
   34175000  +8                                     00000c80 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb03faddfadd 
   34185000  +6                                     00000c80 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
   34745000  +9                                     00000c80 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000276c00000feef00ff00ff00ff00f0001088400000111fb03fb03faddfadd 
   34745000 +11                                     00000c80 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
